Rydberg_B_MHz,fidelity,T_gate,tau_ratio,amp_Omega_r,amp_Delta_r
50,0.9818785814107214,0.4123180163132533,0.11828094474289601,62.83651982261146,147.5986998206712
100,0.9817100949465686,0.4564122811345328,0.2785222481418632,62.83185307179586,110.92162233804525
200,0.9952395641656601,0.45912943853887045,0.2850165921479497,62.83185307179586,109.65134838946739
300,0.9977239876207158,0.4730720447874421,0.25601890203966404,62.83185307179586,106.67163582188672
400,0.9974017828461932,0.7393280099873754,0.14455263367462606,72.23334412083278,110.32309787704021
500,0.9985854830950243,0.7310101638138585,0.16627473675089932,62.83269614830848,83.19194760899535
600,0.9984178052073472,0.8622047180217087,0.1754816342191346,62.854474707945506,80.3359441975855
700,0.9987218995726679,0.8539320177454128,0.17939532399172953,62.85843506353691,73.15524563942003
800,0.9989115617646855,0.8522714029537554,0.18008760326798962,62.8563976781435,72.42873020121779
900,0.9988630765291997,0.7787356533187744,0.17742931078752486,71.56606113536893,100.76980324988715
1000,0.9990005802853232,0.7360975448858966,0.19198228849294358,72.09296888703958,104.25200545152163
1250,0.9991852821421798,0.7370365168654429,0.18503782497421806,73.79646944630495,104.84465297428642
1500,0.9992979573090283,0.7507632054629335,0.18084270896246946,74.21521754492498,104.83910516881743
1750,0.9994175716304503,0.7671065452420305,0.17753237257294066,70.85551527250954,83.93352170669117
2000,0.99943474581935,0.7041101654474012,0.17338431445425317,79.1966026685791,107.0916266236717
2500,0.9995256041318324,0.5999900075378453,0.17225494387162796,94.11009220851182,121.05398886124757
3000,0.9995446161857453,0.6200605860702094,0.17420991762233828,88.8740934827103,118.93895695923264
