Rydberg_B_MHz,fidelity,T_gate,tau_ratio,amp_Omega_r,amp_Delta_r
500,0.9984719765475806,1.2358240715458886,0.175,44.06680758374901,62.925298506698546
600,0.9980680346786859,1.25,0.175,51.71506040315215,91.49701995559235
700,0.9983222555811487,1.2186563873565004,0.175,53.31357300979448,93.96603026293143
800,0.9981049005173874,1.249599591907724,0.175,58.957606760717546,120.2911799944493
900,0.9983195586134356,1.244133258904471,0.175,60.30779331080038,121.60832144279226
1000,0.9984839352051025,1.2477486325585314,0.175,60.368770462215934,119.35078654956298
1250,0.9987482351733274,1.2404131078965903,0.175,61.89329972352611,119.65798041009336
1500,0.9988565135622826,1.0390946014902864,0.175,74.37416896474429,148.71459185374144
1750,0.9989968857673692,1.153475043101897,0.175,69.84231062389466,135.1998025575657
2000,0.999072102358781,0.949034375761961,0.175,82.51943514328312,161.66492656192847
2500,0.9992065828355368,0.9523830624628621,0.175,84.66626425008536,160.28543709139444
3000,0.999282792204272,0.9423110668307869,0.175,85.30552379653938,161.70856046352804
